Product Name,Category,Al-Sater Price (BHD),Al-Hali Supermarket Price (BHD),Lulu Hypermarket Price (BHD)
Jar Cheese 500g Danone,Dairy & Cheese,2.178,2.212,1.998
Strawberry Milk 180ml Almarai,Dairy & Cheese,0.827,0.818,0.769
Unsalted Butter 100g Tatweej,Dairy & Cheese,1.636,1.631,1.536
Full Cream Milk 1L Pinar,Dairy & Cheese,0.256,0.248,0.231
Low Fat Milk 1L Kraft,Dairy & Cheese,0.399,0.407,0.380
Greek Yogurt 150g Al Diwan,Dairy & Cheese,1.089,1.063,0.981
Sandwich Cheese Slices Al Ain,Dairy & Cheese,2.032,1.947,1.946
Ayran Laban 250ml Al Ain,Dairy & Cheese,0.429,0.441,0.395
Sandwich Cheese Slices Amoo,Dairy & Cheese,1.548,1.562,1.398
Turkish Labneh 400g Kraft,Dairy & Cheese,0.674,0.687,0.660
Fresh Cream 100g Nada,Dairy & Cheese,0.729,0.717,0.714
Triangle Cheese 8s Al Ain,Dairy & Cheese,1.163,1.137,1.053
Jar Cheese 500g Tatweej,Dairy & Cheese,1.776,1.752,1.639
Full Cream Milk 1L Almarai,Dairy & Cheese,0.474,0.476,0.469
Fresh Laban 500ml Almarai,Dairy & Cheese,1.272,1.244,1.191
Full Cream Milk 1L Almarai,Dairy & Cheese,1.460,1.405,1.436
Chocolate Milk 180ml Pinar,Dairy & Cheese,0.670,0.657,0.657
Fresh Cream 100g Pinar,Dairy & Cheese,1.054,1.040,0.981
Turkish Labneh 400g Al Diwan,Dairy & Cheese,0.429,0.440,0.415
Low Fat Milk 1L Amoo,Dairy & Cheese,0.227,0.224,0.214
Sandwich Cheese Slices Pinar,Dairy & Cheese,1.693,1.740,1.619
Turkish Labneh 400g Al Ain,Dairy & Cheese,0.423,0.423,0.420
Chocolate Milk 180ml Amul,Dairy & Cheese,0.330,0.323,0.315
Turkish Labneh 400g President,Dairy & Cheese,2.064,2.062,1.935
Low Fat Milk 1L Kraft,Dairy & Cheese,0.399,0.390,0.376
Unsalted Butter 100g President,Dairy & Cheese,0.804,0.778,0.747
Sandwich Cheese Slices Nada,Dairy & Cheese,0.219,0.224,0.201
Turkish Labneh 400g President,Dairy & Cheese,1.368,1.377,1.244
Greek Yogurt 150g Nada,Dairy & Cheese,2.426,2.356,2.259
Greek Yogurt 150g Nadec,Dairy & Cheese,0.268,0.265,0.251
Chocolate Milk 180ml Amoo,Dairy & Cheese,0.365,0.356,0.330
Fresh Cream 100g Danone,Dairy & Cheese,1.086,1.070,1.074
Ayran Laban 250ml Al Ain,Dairy & Cheese,0.169,0.173,0.156
Strawberry Milk 180ml Amul,Dairy & Cheese,1.955,1.936,1.844
Triangle Cheese 8s Nada,Dairy & Cheese,1.358,1.324,1.300
Sandwich Cheese Slices Nada,Dairy & Cheese,1.465,1.489,1.423
Strawberry Milk 180ml Tatweej,Dairy & Cheese,0.700,0.677,0.690
Fresh Laban 500ml Nada,Dairy & Cheese,1.185,1.138,1.112
Sandwich Cheese Slices Al Ain,Dairy & Cheese,1.218,1.233,1.218
Natural Yogurt 180g Amul,Dairy & Cheese,1.230,1.211,1.144
Natural Yogurt 180g Amoo,Dairy & Cheese,0.304,0.310,0.286
Natural Yogurt 180g Tatweej,Dairy & Cheese,1.130,1.088,1.036
Triangle Cheese 8s Amoo,Dairy & Cheese,2.260,2.162,2.123
Jar Cheese 500g Al Ain,Dairy & Cheese,0.273,0.263,0.255
Chocolate Milk 180ml President,Dairy & Cheese,0.702,0.714,0.698
Natural Yogurt 180g Al Ain,Dairy & Cheese,0.772,0.751,0.716
Triangle Cheese 8s Amoo,Dairy & Cheese,2.328,2.251,2.193
Low Fat Milk 1L Al Diwan,Dairy & Cheese,2.166,2.184,2.154
Turkish Labneh 400g Amoo,Dairy & Cheese,0.887,0.860,0.860
Fresh Cream 100g Amul,Dairy & Cheese,1.481,1.408,1.342
Sandwich Cheese Slices Kraft,Dairy & Cheese,1.480,1.495,1.352
Unsalted Butter 100g Al Ain,Dairy & Cheese,0.607,0.581,0.571
Full Cream Milk 1L Kraft,Dairy & Cheese,0.671,0.654,0.621
Ayran Laban 250ml Nada,Dairy & Cheese,0.361,0.349,0.327
Ayran Laban 250ml Amul,Dairy & Cheese,0.346,0.335,0.337
Turkish Labneh 400g Tatweej,Dairy & Cheese,1.934,1.950,1.834
Chocolate Milk 180ml Tatweej,Dairy & Cheese,0.658,0.636,0.612
Strawberry Milk 180ml Al Ain,Dairy & Cheese,1.436,1.449,1.342
Fresh Laban 500ml Nadec,Dairy & Cheese,0.445,0.429,0.437
Natural Yogurt 180g Al Diwan,Dairy & Cheese,2.037,1.975,2.032
Chocolate Ice Cream 1L Magnum,Ice Cream,0.807,0.787,0.736
Strawberry Ice Cream Cup Labella,Ice Cream,1.367,1.394,1.338
Mini Baskin Robbins Scoop Magnum,Ice Cream,1.182,1.133,1.069
Family Vanilla Ice Cream 1L London Dairy,Ice Cream,0.348,0.332,0.348
Mini Baskin Robbins Scoop Baskin Robbins,Ice Cream,0.481,0.495,0.480
Mini Baskin Robbins Scoop Labella,Ice Cream,1.113,1.114,1.111
Berry Ice Cream Bar Lulu,Ice Cream,1.004,1.003,0.970
Family Vanilla Ice Cream 1L London Dairy,Ice Cream,0.973,0.946,0.888
Berry Ice Cream Bar Quality,Ice Cream,1.286,1.276,1.190
Magnum Almond Nestle,Ice Cream,1.086,1.049,1.048
Cookies & Cream Ice Cream Quality,Ice Cream,1.625,1.622,1.546
Cookies & Cream Ice Cream Labella,Ice Cream,0.718,0.687,0.715
Strawberry Ice Cream Cup Labella,Ice Cream,1.418,1.415,1.362
Chocolate Ice Cream 1L Lulu,Ice Cream,0.972,0.945,0.950
Cookies & Cream Ice Cream Baskin Robbins,Ice Cream,0.620,0.620,0.604
Family Vanilla Ice Cream 1L Baskin Robbins,Ice Cream,1.371,1.326,1.251
Mini Baskin Robbins Scoop Lulu,Ice Cream,1.994,1.924,1.913
Mini Baskin Robbins Scoop Baladi,Ice Cream,1.038,0.987,0.943
Berry Ice Cream Bar Lulu,Ice Cream,1.069,1.082,1.034
Salted Caramel Ice Cream Magnum,Ice Cream,1.087,1.088,1.066
Family Vanilla Ice Cream 1L Lulu,Ice Cream,1.238,1.232,1.176
Family Vanilla Ice Cream 1L Baskin Robbins,Ice Cream,1.282,1.253,1.271
Salted Caramel Ice Cream Sadia,Ice Cream,1.733,1.784,1.686
Salted Caramel Ice Cream Magnum,Ice Cream,1.626,1.633,1.574
Chocolate Ice Cream 1L Lulu,Ice Cream,0.732,0.695,0.679
Berry Ice Cream Bar Quality,Ice Cream,0.786,0.755,0.742
Magnum Almond Sadia,Ice Cream,1.397,1.389,1.305
Mini Baskin Robbins Scoop Nestle,Ice Cream,1.029,1.019,0.959
Natural Mango Ice Cream Magnum,Ice Cream,1.512,1.531,1.379
Family Vanilla Ice Cream 1L Nestle,Ice Cream,1.482,1.450,1.372
Natural Mango Ice Cream Sadia,Ice Cream,1.667,1.703,1.638
Mini Baskin Robbins Scoop Quality,Ice Cream,1.196,1.214,1.122
Family Vanilla Ice Cream 1L Lulu,Ice Cream,0.900,0.872,0.819
Natural Mango Ice Cream Magnum,Ice Cream,0.346,0.352,0.345
Cookies & Cream Ice Cream Sadia,Ice Cream,0.318,0.325,0.301
Family Vanilla Ice Cream 1L Baskin Robbins,Ice Cream,0.750,0.737,0.725
Salted Caramel Ice Cream Sadia,Ice Cream,0.767,0.737,0.739
Family Vanilla Ice Cream 1L Labella,Ice Cream,1.241,1.248,1.204
Natural Mango Ice Cream Bahraini,Ice Cream,1.771,1.753,1.723
Chocolate Ice Cream 1L Bahraini,Ice Cream,0.754,0.746,0.739
Salted Caramel Ice Cream Labella,Ice Cream,0.426,0.438,0.388
Natural Mango Ice Cream Baskin Robbins,Ice Cream,1.254,1.246,1.139
Natural Mango Ice Cream Labella,Ice Cream,1.956,1.932,1.773
Cookies & Cream Ice Cream Baskin Robbins,Ice Cream,1.676,1.598,1.592
Berry Ice Cream Bar Sadia,Ice Cream,0.754,0.753,0.746
Salted Caramel Ice Cream Baladi,Ice Cream,1.250,1.261,1.171
Berry Ice Cream Bar London Dairy,Ice Cream,0.542,0.545,0.518
Family Vanilla Ice Cream 1L Labella,Ice Cream,1.153,1.163,1.144
Chocolate Ice Cream 1L Bahraini,Ice Cream,0.745,0.765,0.717
Natural Mango Ice Cream Nestle,Ice Cream,1.018,1.001,1.011
Mineral Water 500ml Arwa,Beverages & Water,0.450,0.448,0.421
Mineral Water 330ml Dely Fresh,Beverages & Water,0.613,0.586,0.562
Energy Drink 250ml Pepsi,Beverages & Water,0.217,0.208,0.216
Malt Beverage 330ml Aquafina,Beverages & Water,0.556,0.545,0.537
Glass Mango Juice 300ml Miranda,Beverages & Water,0.537,0.530,0.506
Mineral Water 330ml Arwa,Beverages & Water,0.249,0.240,0.229
Mineral Water 500ml Dely Fresh,Beverages & Water,0.678,0.650,0.669
Energy Drink 250ml Red Bull,Beverages & Water,0.279,0.280,0.252
Mineral Water 330ml Sprite,Beverages & Water,0.164,0.163,0.157
Glass Orange Juice 300ml Dely Fresh,Beverages & Water,0.228,0.221,0.212
Malt Beverage 330ml Sprite,Beverages & Water,0.536,0.522,0.490
Glass Mango Juice 300ml Rabea,Beverages & Water,0.776,0.770,0.723
Malt Beverage 330ml Arwa,Beverages & Water,1.011,0.967,0.958
Glass Mango Juice 300ml Lipton,Beverages & Water,0.962,0.935,0.956
Banana Milk 180ml Red Bull,Beverages & Water,1.187,1.159,1.115
Peach Iced Tea 300ml Lipton,Beverages & Water,0.982,0.970,0.925
Malt Beverage 330ml Fanta,Beverages & Water,1.085,1.044,1.062
Mineral Water 500ml Rabea,Beverages & Water,1.181,1.130,1.159
Glass Apple Juice 300ml Red Bull,Beverages & Water,0.584,0.585,0.548
Carbonated Can 330ml Miranda,Beverages & Water,0.759,0.776,0.712
Banana Milk 180ml Fanta,Beverages & Water,0.587,0.560,0.576
Carbonated Can 330ml Sprite,Beverages & Water,0.391,0.387,0.355
Mineral Water 330ml Coca-Cola,Beverages & Water,0.613,0.604,0.553
Mineral Water 500ml Rabea,Beverages & Water,0.766,0.741,0.737
Banana Milk 180ml Dely Fresh,Beverages & Water,0.303,0.289,0.291
Glass Apple Juice 300ml Cappy,Beverages & Water,0.676,0.654,0.653
Glass Orange Juice 300ml Arwa,Beverages & Water,0.303,0.293,0.284
Mineral Water 330ml Miranda,Beverages & Water,0.663,0.655,0.622
Banana Milk 180ml Arwa,Beverages & Water,0.260,0.258,0.236
Mineral Water 500ml Aquafina,Beverages & Water,0.672,0.692,0.618
Malt Beverage 330ml Fanta,Beverages & Water,1.109,1.123,1.089
Peach Iced Tea 300ml Miranda,Beverages & Water,0.677,0.668,0.632
Peach Iced Tea 300ml Aquafina,Beverages & Water,0.597,0.612,0.596
Banana Milk 180ml Lipton,Beverages & Water,0.932,0.936,0.854
Mineral Water 330ml Arwa,Beverages & Water,0.853,0.875,0.780
Carbonated Can 330ml Rabea,Beverages & Water,0.840,0.809,0.761
Malt Beverage 330ml Aquafina,Beverages & Water,0.557,0.530,0.520
Carbonated Can 330ml Dely Fresh,Beverages & Water,0.146,0.150,0.139
Mineral Water 500ml Aquafina,Beverages & Water,0.532,0.515,0.484
Carbonated Can 330ml Miranda,Beverages & Water,0.977,0.981,0.933
Carbonated Can 330ml Coca-Cola,Beverages & Water,0.791,0.792,0.779
Glass Apple Juice 300ml Arwa,Beverages & Water,0.856,0.879,0.833
Malt Beverage 330ml Aquafina,Beverages & Water,0.794,0.801,0.763
Mineral Water 330ml Aquafina,Beverages & Water,0.314,0.319,0.291
Energy Drink 250ml Lipton,Beverages & Water,1.016,1.031,1.002
Glass Apple Juice 300ml Red Bull,Beverages & Water,0.861,0.828,0.811
Mineral Water 500ml Miranda,Beverages & Water,0.725,0.692,0.698
Peach Iced Tea 300ml Pepsi,Beverages & Water,0.275,0.282,0.272
Glass Apple Juice 300ml Aquafina,Beverages & Water,1.191,1.151,1.114
Mineral Water 500ml Arwa,Beverages & Water,0.748,0.767,0.699
